Place,Population,Per Capita Income,Poverty Count
"Autauga County, Alabama",55380,29819,8340
"Baldwin County, Alabama",212830,32626,21704
"Barbour County, Alabama",25361,18473,6875
"Bibb County, Alabama",22493,20778,3740
"Blount County, Alabama",57681,24747,7739
"Bullock County, Alabama",10248,20877,2825
"Butler County, Alabama",19828,21038,4397
"Calhoun County, Alabama",114618,25345,19969
"Chambers County, Alabama",33660,22729,5711
"Cherokee County, Alabama",25903,24301,3560
"Chilton County, Alabama",44055,24658,8302
"Choctaw County, Alabama",12925,22308,2968
"Clarke County, Alabama",24128,22225,5484
"Clay County, Alabama",13337,23519,2342
"Cleburne County, Alabama",14916,23142,2531
"Coffee County, Alabama",51662,27806,7670
"Colbert County, Alabama",54771,25536,8390
"Conecuh County, Alabama",12394,19769,2161
"Coosa County, Alabama",10757,23694,1399
"Covington County, Alabama",37200,23687,6756
"Crenshaw County, Alabama",13844,24563,2065
"Cullman County, Alabama",82853,23468,12133
"Dale County, Alabama",49277,24645,8424
"Dallas County, Alabama",39149,19612,11204
"DeKalb County, Alabama",71310,21907,14833
"Elmore County, Alabama",81144,29052,8820
"Escambia County, Alabama",37057,19028,7551
"Etowah County, Alabama",102748,24883,17625
"Fayette County, Alabama",16494,22483,3146
"Franklin County, Alabama",31466,21641,6007
"Geneva County, Alabama",26417,21711,5743
"Greene County, Alabama",8324,14884,3140
"Hale County, Alabama",14809,21191,3522
"Henry County, Alabama",17133,25276,2316
"Houston County, Alabama",104702,27097,18885
"Jackson County, Alabama",51852,22596,9536
"Jefferson County, Alabama",659680,32098,103417
"Lamar County, Alabama",13885,22636,2827
"Lauderdale County, Alabama",92556,28033,13175
"Lawrence County, Alabama",33058,23450,5906
"Lee County, Alabama",161152,27860,30423
"Limestone County, Alabama",94727,28411,12436
"Lowndes County, Alabama",10079,20209,2664
"Macon County, Alabama",18708,20419,3995
"Madison County, Alabama",362276,36620,44038
"Marengo County, Alabama",19321,25635,4174
"Marion County, Alabama",29866,21311,5137
"Marshall County, Alabama",95643,24453,19147
"Mobile County, Alabama",414114,25861,76275
"Monroe County, Alabama",21270,20527,5869
"Montgomery County, Alabama",226941,29071,42442
"Morgan County, Alabama",119213,27367,17126
"Perry County, Alabama",9293,15055,2612
"Pickens County, Alabama",20243,23024,4204
"Pike County, Alabama",33333,22453,7701
"Randolph County, Alabama",22647,24721,3748
"Russell County, Alabama",57952,23470,11775
"St. Clair County, Alabama",87989,26409,10484
"Shelby County, Alabama",213432,38549,15742
"Sumter County, Alabama",12797,16799,3782
"Talladega County, Alabama",80387,23305,14653
"Tallapoosa County, Alabama",40541,25217,7546
"Tuscaloosa County, Alabama",207305,26789,34749
"Walker County, Alabama",64110,23882,11440
"Washington County, Alabama",16541,26752,3451
"Wilcox County, Alabama",10681,16841,3111
"Winston County, Alabama",23784,22952,4127
"Aleutians East Borough, Alaska",3385,33939,465
"Aleutians West Census Area, Alaska",5698,39647,373
"Anchorage Municipality, Alaska",293531,41415,25861
"Bethel Census Area, Alaska",18134,19885,4980
"Bristol Bay Borough, Alaska",875,44168,61
"Denali Borough, Alaska",2246,34365,354
